Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
ない,ナイ,Not (Negative / Nonexistent),Unlabeled,1507,このことは 誰にも言わ<b>ない</b>でくれよな！,Please don't tell anyone about this!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E21_00_16_47_089.jpg"">"
する,スル,To do / To make,N5,1216,では このお客様にオススメ<b>し</b>てみろ 君が考える真の掘り出し物を！,"So, let's recommend this customer what you think is a true bargain!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E12_00_11_55_798.jpg"">"
てる,てる,is... -ing (Contraction of te-iru),Unlabeled,986,かがみは いつもに比べて 調子を落とし<b>てる</b>な,Kagami seems to be acting more depressed than usual.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E09_00_09_03_209.jpg"">"
って,って,"Quotation particle / ""They say..."" / Topic marker",Unlabeled,982,“いい気になるな”<b>って</b>？ もうそんなことないですから！,“I feel good about it”? That doesn't happen anymore!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E12_00_21_27_286.jpg"">"
です,デス,To be (Polite Copula),Unlabeled,929,私は柔道場などには 足を踏み入れたことがない<b>です</b>ね,I've never set foot in a judo hall.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E15_00_17_43_145.jpg"">"
から,カラ,From / Because,Unlabeled,714,“いい気になるな”って？ もうそんなことないです<b>から</b>！,“I feel good about it”? That doesn't happen anymore!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E12_00_21_27_286.jpg"">"
そう,そう,So / That way / Seeming,N4,666,逆にかがみは 何でもズバズバ捨て<b>そう</b>,"On the other hand, Kagami seems to throw away everything.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E06_00_17_43_645.jpg"">"
ます,ます,Polite verb ending,Unlabeled,617,そこで つかさとかがみも 踊ることになり<b>まし</b>た！,Tsukasa and Kagami also decided to dance there!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E24_00_06_10_787.jpg"">"
けど,ケド,But / Although,Unlabeled,525,それがこっちでは こんなんだ<b>けど</b> あっちじゃ賢者とか呼ばれててさ！,"That's what it's like here, but over there they're called sages!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E22_00_03_46_935.jpg"">"
いう,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",Unlabeled,476,でも苦手とおっしゃるわりには 結構 そう<b>いう</b>の見てますよね,"But even though you say you're not good at it, you've seen a lot of things like that.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E19_00_04_58_631.jpg"">"
